// Compost colors for doggytalents. You may add your own colors, change existing ones, or remove colors that aren't needed.
aburaage, #ffe768
amnesia_bone, #ffffff
angel_halo, #ffff9e
angel_wings, #ffffff
bach_wig, #ffffff
baker_hat, #ffffff
bandaid, #ffe7cc
bat_wings, #8a8270
beastars_uniform_female, #ffffff
beastars_uniform_male, #ffffff
birthday_hat, #ffffff
bowtie, #ffffff
breeding_bone, #ffb8b8
bunny_ears, #ffffff
canine_tracker, #ffde7a
cape_coloured, #a5a5a5
ceremonial_garb, #ffffff
chef_hat, #ffffff
christmas_hat, #ffffff
conan_suit, #d3def8
conducting_bone, #ffffff
creative_canine_tracker, #ffde7a
creative_collar, #ffff55
crow_wings, #7d838c
death_hood, #7f8082
deer_antlers, #8c705f
demon_horns, #ffe6e6
disc_chopin_op64_no1, #e6dcda
divine_retribution, #e47d33
dog_anim_debug_stick, #fffbd7
dog_christmas_star, #ffffff
dog_christmas_tree, #afc9aa
dog_gift_costume, #ffffff
dog_plushie_toy_item, #ffffff
doggy_charm, #ffffc2
doggy_contacts, #ffffff
dragon_costume_head, #878389
dragon_costume_suit, #545454
dragon_costume_wings, #d4d4d4
drool_scent_treat, #ffffff
easter_egg_candy, #ffbbff
edamame, #b5e752
edamame_unpodded, #c8eb4a
egg_sandwich, #ffffff
empty_locator_orb, #ffffff
energizer_stick, #ffffb1
feathered_mantle, #ffffff
fedora, #ddc6cc
firefighter_hat_blue, #f5f1eb
firefighter_hat_red, #ffe8e4
firefighter_suit_black, #d9d7c9
firefighter_suit_blue, #bfd0cd
firefighter_suit_kaki, #ffffff
firefighter_suit_red, #ffe4d4
flatcap, #ffffff
flying_cape, #ffffff
frisbee, #ffffff
frisbee_wet, #ffffff
gender_bone, #fffbff
giant_stick, #ffffff
golden_a_five_wagyu, #ffffe4
goose, #f1eeeb
grand_piano_black_item, #686661
grand_piano_white_item, #ffffff
guard_suit, #575050
gyudon, #ebcc9b
head_band_blank, #ffffd9
head_band_highhh, #fffcc8
head_band_mystery, #ffffca
hot_dog, #ffffd3
kami_treat, #dcd9f5
kitsune_mask, #c2a5a4
koji, #ffffff
lab_coat, #ffffff
leather_jacket, #585858
locator_orb_chi, #fa93bb
locator_orb_chu, #97d7ff
locator_orb_dyable, #ebe1de
locator_orb_gi, #6f91ff
locator_orb_jin, #ff7673
locator_orb_ka, #ffb591
locator_orb_ko, #be76ff
locator_orb_moku, #87c264
locator_orb_rei, #eefe5f
locator_orb_shin, #a7f273
locator_orb_sui, #c2ebff
locator_orb_tei, #ffcf61
magnifying_bone, #ffe7cd
master_treat, #51fee1
midi_keyboard, #ffffff
miso_paste, #ffcc6e
miso_soup, #cfbb83
multicoloured_collar, #e1a18d
natto, #fffbb6
natto_rice, #a79480
onigiri, #deeae4
onsen_tamago, #ffffff
oyakodon, #eacf82
pianist_suit, #b6b4b2
plague_doctor_mask, #cac9c6
propeller_hat, #b4bc6b
radio_collar, #948383
rice_bowl, #f7f0eb
rice_grains, #ffffae
rice_mill, #9b7f52
rice_wheat, #ffc63a
sake, #cfcaca
salmon_sushi, #fffff7
samoyed_plushie_toy_item, #faf5f8
sausage, #af361b
scent_treat, #ffffff
shrinking_mallet, #fffff0
smarty_glasses, #d2d3d3
snorkel, #ffffff
soul_reflector, #5caea5
soy_beans, #8dd74d
soy_beans_dried, #f7d03c
soy_milk, #bca772
soy_pods, #8ed94d
soy_pods_dried, #b89751
spotted_collar, #969898
starter_bundle, #ffffb6
striped_scarf, #f1f1f1
sunglasses, #191b19
super_treat, #ffffc3
superdog_suit, #e6e7ff
sussy_sickle, #ffffff
tantan_cape, #6c4e6b
tengu_mask, #b87979
throw_bone, #ffffff
throw_bone_wet, #ffffff
throw_stick, #ffffff
throw_stick_wet, #ffffff
tofu, #ffffff
training_treat, #f0d4c3
treat_bag, #784d29
uncooked_rice, #ffffff
uncooked_rice_bowl, #6b5f5b
upright_piano_black_item, #51514e
upright_piano_brown_item, #936e4e
whistle, #dc4848
wig, #ebebeb
witch_hat, #a0a59a
wool_collar, #ffffff
wool_collar_thicc, #ffffff
