// Compost colors for hexcasting. You may add your own colors, change existing ones, or remove colors that aren't needed.
abacus, #b68d8e
amethyst_dust, #feccff
artifact, #fec09e
charged_amethyst, #ca9dff
creative_unlocker, #e0b2ff
cypher, #e6a0dd
default_colorizer, #ffd3c9
dye_colorizer_black, #482020
dye_colorizer_blue, #5e52de
dye_colorizer_brown, #c87a5c
dye_colorizer_cyan, #8cffff
dye_colorizer_gray, #a5aeaf
dye_colorizer_green, #3eaa11
dye_colorizer_light_blue, #96d2fc
dye_colorizer_light_gray, #cfb2b2
dye_colorizer_lime, #72de40
dye_colorizer_magenta, #ff9dff
dye_colorizer_orange, #ff9048
dye_colorizer_pink, #ffdcff
dye_colorizer_purple, #720aa5
dye_colorizer_red, #e62022
dye_colorizer_white, #eed3d6
dye_colorizer_yellow, #ffee28
edified_door, #8946a5
focus, #e19e90
jeweler_hammer, #b1a090
lens, #ffffff
lore_fragment, #ffc98c
pride_colorizer_agender, #84ac90
pride_colorizer_aroace, #e8eada
pride_colorizer_aromantic, #a5e4ac
pride_colorizer_asexual, #9372c6
pride_colorizer_bisexual, #be75ff
pride_colorizer_demiboy, #daffff
pride_colorizer_demigirl, #ffd9ff
pride_colorizer_gay, #e7d352
pride_colorizer_genderfluid, #8766c0
pride_colorizer_genderqueer, #d4e7dc
pride_colorizer_intersex, #ffff43
pride_colorizer_lesbian, #ffbbea
pride_colorizer_nonbinary, #98878e
pride_colorizer_pansexual, #ffffed
pride_colorizer_plural, #4a7cbc
pride_colorizer_transgender, #ededff
spellbook, #c54462
staff/acacia, #e67d55
staff/bamboo, #cabb7a
staff/birch, #ffd0ae
staff/cherry, #f4acea
staff/crimson, #ffdeeb
staff/dark_oak, #7c5040
staff/edified, #a262c0
staff/jungle, #e6a1a4
staff/mangrove, #a16565
staff/mindsplice, #584866
staff/oak, #d7938a
staff/spruce, #c88c96
staff/warped, #ebfcfa
sub_sandwich, #b68037
thought_knot, #dae7e8
trinket, #d0aaff
uuid_colorizer, #ffd3c9
