// Compost colors for ice_and_fire_delight. You may add your own colors, change existing ones, or remove colors that aren't needed.
burnt_demon, #d0afae
desertjelly, #ffe8b4
dragonemon, #b5dcfe
fireketchup, #ffcd9b
firewyvernkebab, #e06b43
firewyvernnuggets, #c24120
firewyvernsandwich, #e4984d
friedeggofasandworm, #fbe4c5
friedtonguekebab, #af5447
frozendemon, #9bffff
frozenwyvernsandwich, #e8a857
hydrakebab, #76ab18
hydrameat, #82c211
hydrasandwich, #dcb868
icewyvernkebab, #a1dee6
icewyvernnuggets, #33828c
jellysandwichofjunglemyrmex, #a88926
junglejelly, #82cab6
ladragon, #d29e5b
mustard, #d7ff9b
onionsauce, #ffffff
pieceoffirewyvernmeat, #e75026
pieceofhydrameat, #6ba80e
pieceoficewyvernmeat, #98edfc
pieceofthunderwyvernmeat, #9873ff
pixiesauce, #f2f5ff
poisonedbyademon, #c5ffd0
q, #864a3c
sandwichwithdesertedmyrmexjelly, #eeac3e
scrambledeggsfrommyrmix, #ffb870
skewermadeofogresfang, #d9ccab
thunder_wyvern_nuggets, #7a20c2
thunder_wyvernsandwich, #c9ac62
thunderdemon, #bc94ff
thunderwyvernkebab, #a184f2
tonguekebab, #d48983
wormflesh, #58190a
