// Compost colors for trinketsandbaubles. You may add your own colors, change existing ones, or remove colors that aren't needed.
arcing_orb, #5faeff
damage_shield, #ffe6ca
dragon_gem, #ab76ff
dragons_eye, #f8befb
dragons_eye_fire, #f03930
dragons_eye_ice, #4386d3
dragons_eye_lightning, #f098ff
dragons_ring, #3c2643
dwarf_stout, #fff8f1
dwarves_ring, #ea7a1b
elf_sap, #ffffff
elves_ring, #51e080
ender_tiara, #ffffff
faelis_claw, #ffffff
faelis_food, #ffffff
faelis_ring, #f4b148
fairies_ring, #5a9dff
fairy_dew, #ffffff
glow_ring, #e0cd98
glowing_gem, #ffffff
glowing_ingot, #ffffff
glowing_powder, #ffffff
goblin_soup, #a2a576
goblins_ring, #6c9820
greater_inertia_stone, #ffe3cf
inertia_null_stone, #ffffff
mana_candy, #ffffff
mana_crystal, #ffffff
mana_reagent, #ffffff
poison_stone, #ffffff
polarized_stone, #ffffff
restoration_serum, #ffffff
sea_stone, #bee1f7
teddy_bear, #9a6b40
titan_ring, #9a554d
titan_spirit, #d4a168
weightless_stone, #ffffa0
wither_ring, #4e4e4e
